#,Sentence#,Token,Tag-Mixed,Segment
1,1,derasa,AR,derasa
2,1,?,,?
3,1,ya,,ya
4,1,addy,,addy
5,1,howa,,howa
6,1,2enta,,2enta
7,1,betro7a,,betro7a
8,1,elgam3a,,elgam3a
9,1,?🙂,,?🙂
10,2,aywa,,aywa
11,2,3ashan,,3ashan
12,2,elgam3a,,elgam3a
13,2,w7sha,,w7sha
14,2,mn,,mn
15,2,ghere,,ghere
16,2,aywa,,aywa
17,3,abo,,abo
18,3,om,,om
19,3,elgam3a,,elgam3a
20,3,ely,,ely
21,3,bt5ly,,bt5ly
22,3,elwa7d,,elwa7d
23,3,ys7a,,ys7a
24,3,elsa3a,,elsa3a
25,3,6,,6
26,3,wnos,,wnos
27,3,...,,...
28,3,abo,,abo
29,3,om,,om
30,3,elt3leem,,elt3leem
31,3,kolo,,kolo
32,3,ya5y,,ya5y
33,3,🌚🌚,,🌚🌚
34,4,i,,i
35,4,meant,,meant
36,4,law,,law
37,4,etsa2alt,,etsa2alt
38,4,eh,,eh
39,4,homa,,homa
40,4,elvision,"AR,EN","el,vision"
41,4,welmission,,welmission
42,4,one,,one
43,4,more,,more
44,4,time,,time
45,4,while,,while
46,4,im,,im
47,4,in,,in
48,4,this,,this
49,4,gam3a,,gam3a
50,4,not,,not
51,4,vission,,vission
52,4,w,,w
53,4,mission,,mission
54,4,beto3,,beto3
55,4,elgam3a,,elgam3a
56,4,hahahahahaha,,hahahahahaha
57,5,ya,,ya
58,5,rab,,rab
59,5,elgam3a,,elgam3a
60,5,tmoot,,tmoot
61,5,💔,,💔
62,6,ahla,,ahla
63,6,haga,,haga
64,6,f,,f
65,6,elgam3a,,elgam3a
66,6,💖💖,,💖💖
67,7,ana,,ana
68,7,law,,law
69,7,nomy,,nomy
70,7,mt3dlsh,,mt3dlsh
71,7,habd2,,habd2
72,7,aroh,,aroh
73,7,elgam3a,,elgam3a
74,7,tany,,tany
75,7,men,,men
76,7,elsana,,elsana
77,7,el,,el
78,7,gaya,,gaya
79,7,t2reban,,t2reban
80,7,kda,,kda
81,8,darwish,,darwish
82,8,enta,,enta
83,8,m3ana,,m3ana
84,8,fe,,fe
85,8,elgam3a,,elgam3a
86,8,wala,,wala
87,8,batlt,,batlt
88,8,t3leem,,t3leem
